"SHEKOU, CHINA",,"LONG BEACH, CA",,16 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LONG BEACH, CA",,15 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"YANTIAN, CHINA",,"LONG BEACH, CA",,14 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"NANSHA, CHINA",,"LOS ANGELES, CA",,17 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LOS ANGELES, CA",,16 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"YANTIAN, CHINA",,"LOS ANGELES, CA",,15 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"NANSHA, CHINA",,"OAKLAND, CA",,22 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"HONG KONG, HONG KONG",,"OAKLAND, CA",,21 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"YANTIAN, CHINA",,"OAKLAND, CA",,20 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"YANTIAN, CHINA",,"LOS ANGELES, CA",,17 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LOS ANGELES, CA",,16 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"YANTIAN, CHINA",,"OAKLAND, CA",,21 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"HONG KONG, HONG KONG",,"OAKLAND, CA",,20 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,1397,FAK (Straight load only),
"YANTIAN, CHINA",,"TACOMA, WA",,24 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"TACOMA, WA",,23 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"YANTIAN, CHINA",,"SEATTLE, WA",,16 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"TACOMA, WA",,18 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"YANTIAN, CHINA",,"TACOMA, WA",,17 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"SHEKOU, CHINA",,"SEATTLE, WA",,18 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SEATTLE, WA",,18 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"YANTIAN, CHINA",,"SEATTLE, WA",,16 ,Y/Y,APLU,7/15/2018,7/31/2018,1342,1622,1622,2051,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NORFOLK, VA",,30 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"YANTIAN, CHINA",,"NORFOLK, VA",,29 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SAVANNAH, GA",,32 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"YANTIAN, CHINA",,"SAVANNAH, GA",,31 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHARLESTON, SC",,35 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHARLESTON, SC",,34 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NEW YORK, NY",,29 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"YANTIAN, CHINA",,"NEW YORK, NY",,28 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"BALTIMORE, MD",,33 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"YANTIAN, CHINA",,"BALTIMORE, MD",,32 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NORFOLK, VA",,35 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"YANTIAN, CHINA",,"NORFOLK, VA",,34 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NEW YORK, NY",,32 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NORFOLK, VA",,35 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SAVANNAH, GA",,37 ,Y/Y,APLU,7/15/2018,7/31/2018,2245,2682,2682,3390,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"HOUSTON, TX",,29 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"SHEKOU, CHINA",,"HOUSTON, TX",,30 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MOBILE, AL",,33 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
"SHEKOU, CHINA",,"MOBILE, AL",,32 ,Y/Y,APLU,7/15/2018,7/31/2018,2287,2732,2732,3454,,FAK (Straight load only),
